_Composite_Pipe_Results_
	Input parameters:
Hot side temperature:
T1 =	110.000	deg C
Cold side temperature:
T2 =	30.000	deg C

Pipe length:
L =	1.200	m

Inner radius:
r_1 =	0.050	m

Fluid heat transfer coefficient of layer 1:
h_1 =	1000.000	W/m2.K
Outer radius of layer 1:
r_2 =	0.050	m

Layer 1 resistance to heat transfer:
R_2 =	0.127	K/W

Thermal conductivity of layer 2:
k_2 =	400.000	W/m.K
Outer radius of layer 2:
r_3 =	0.060	m

Layer 2 resistance to heat transfer:
R_3 =	0.000	K/W

Thermal conductivity of layer 3:
k_3 =	0.200	W/m.K
Outer radius of layer 3:
r_4 =	0.090	m

Layer 3 resistance to heat transfer:
R_4 =	0.269	K/W

Fluid heat transfer coefficient of layer 4:
h_4 =	0.500	W/m2.K
Outer radius of layer 4:
r_5 =	0.090	m

Layer 4 resistance to heat transfer:
R_5 =	78.595	K/W

	Intermediate parameters:
Rate of heat transfer:
Q =	1.013	W

	Output parameters:
k (W/m.K)	h (W/m2.K)	r (mm)	T (deg C)
0.000	0.000	50.00000	110.00000
	1000.000	50.00000	109.87105
400.000	0.000	50.04016	109.87105
		50.08032	109.87105
		50.12048	109.87105
		50.16064	109.87105
		50.20080	109.87105
		50.24096	109.87105
		50.28112	109.87105
		50.32129	109.87105
		50.36145	109.87105
		50.40161	109.87105
		50.44177	109.87105
		50.48193	109.87105
		50.52209	109.87105
		50.56225	109.87105
		50.60241	109.87105
		50.64257	109.87105
		50.68273	109.87105
		50.72289	109.87105
		50.76305	109.87105
		50.80321	109.87104
		50.84337	109.87104
		50.88353	109.87104
		50.92369	109.87104
		50.96386	109.87104
		51.00402	109.87104
		51.04418	109.87104
		51.08434	109.87104
		51.12450	109.87104
		51.16466	109.87104
		51.20482	109.87104
		51.24498	109.87104
		51.28514	109.87104
		51.32530	109.87104
		51.36546	109.87104
		51.40562	109.87104
		51.44578	109.87104
		51.48594	109.87104
		51.52610	109.87104
		51.56627	109.87104
		51.60643	109.87104
		51.64659	109.87104
		51.68675	109.87104
		51.72691	109.87104
		51.76707	109.87104
		51.80723	109.87104
		51.84739	109.87104
		51.88755	109.87104
		51.92771	109.87104
		51.96787	109.87104
		52.00803	109.87104
		52.04819	109.87104
		52.08835	109.87104
		52.12851	109.87104
		52.16867	109.87104
		52.20884	109.87104
		52.24900	109.87104
