_Composite_Pipe_Results_
	Input parameters:
Hot side temperature:
T1 =	110.000	deg C
Cold side temperature:
T2 =	30.000	deg C

Pipe length:
L =	1.000	m

Inner radius:
r_1 =	0.050	m

Thermal conductivity of layer 1:
k_1 =	400.000	W/m.K
Outer radius of layer 1:
r_2 =	0.060	m

Layer 1 resistance to heat transfer:
R_2 =	0.000	K/W

Thermal conductivity of layer 2:
k_2 =	75.000	W/m.K
Outer radius of layer 2:
r_3 =	0.090	m

Layer 2 resistance to heat transfer:
R_3 =	0.001	K/W

Thermal conductivity of layer 3:
k_3 =	0.500	W/m.K
Outer radius of layer 3:
r_4 =	0.150	m

Layer 3 resistance to heat transfer:
R_4 =	0.163	K/W

	Intermediate parameters:
Rate of heat transfer:
Q =	489.195	W

	Output parameters:
k (W/m.K)	h (W/m2.K)	r (mm)	T (deg C)
0.000	0.000	50.00000	110.00000
400.000		50.04000	109.99984
		50.08000	109.99969
		50.12000	109.99953
		50.16000	109.99938
		50.20000	109.99922
		50.24000	109.99907
		50.28000	109.99891
		50.32000	109.99876
		50.36000	109.99860
		50.40000	109.99845
		50.44000	109.99829
		50.48000	109.99814
		50.52000	109.99799
		50.56000	109.99783
		50.60000	109.99768
		50.64000	109.99752
		50.68000	109.99737
		50.72000	109.99722
		50.76000	109.99706
		50.80000	109.99691
		50.84000	109.99676
		50.88000	109.99660
		50.92000	109.99645
		50.96000	109.99630
		51.00000	109.99615
		51.04000	109.99599
		51.08000	109.99584
		51.12000	109.99569
		51.16000	109.99554
		51.20000	109.99538
		51.24000	109.99523
		51.28000	109.99508
		51.32000	109.99493
		51.36000	109.99478
		51.40000	109.99462
		51.44000	109.99447
		51.48000	109.99432
		51.52000	109.99417
		51.56000	109.99402
		51.60000	109.99387
		51.64000	109.99372
		51.68000	109.99357
		51.72000	109.99342
		51.76000	109.99327
		51.80000	109.99312
		51.84000	109.99297
		51.88000	109.99282
		51.92000	109.99267
		51.96000	109.99252
		52.00000	109.99237
		52.04000	109.99222
		52.08000	109.99207
		52.12000	109.99192
		52.16000	109.99177
		52.20000	109.99162
		52.24000	109.99147
		52.28000	109.99132
		52.32000	109.99117
		52.36000	109.99102
		52.40000	109.99087
		52.44000	109.99073
		52.48000	109.99058
		52.52000	109.99043
		52.56000	109.99028
		52.60000	109.99013
		52.64000	109.98998
		52.68000	109.98984
		52.72000	109.98969
		52.76000	109.98954
		52.80000	109.98939
		52.84000	109.98925
		52.88000	109.98910
		52.92000	109.98895
		52.96000	109.98881
		53.00000	109.98866
		53.04000	109.98851
		53.08000	109.98836
		53.12000	109.98822
		53.16000	109.98807
		53.20000	109.98793
		53.24000	109.98778
		53.28000	109.98763
		53.32000	109.98749
		53.36000	109.98734
		53.40000	109.98719
		53.44000	109.98705
		53.48000	109.98690
		53.52000	109.98676
		53.56000	109.98661
		53.60000	109.98647
		53.64000	109.98632
		53.68000	109.98618
		53.72000	109.98603
		53.76000	109.98589
		53.80000	109.98574
		53.84000	109.98560
		53.88000	109.98545
		53.92000	109.98531
		53.96000	109.98516
		54.00000	109.98502
		54.04000	109.98488
		54.08000	109.98473
		54.12000	109.98459
		54.16000	109.98444
		54.20000	109.98430
		54.24000	109.98416
		54.28000	109.98401
		54.32000	109.98387
		54.36000	109.98373
		54.40000	109.98358
		54.44000	109.98344
		54.48000	109.98330
		54.52000	109.98315
		54.56000	109.98301
		54.60000	109.98287
		54.64000	109.98273
		54.68000	109.98258
		54.72000	109.98244
		54.76000	109.98230
		54.80000	109.98216
		54.84000	109.98202
		54.88000	109.98187
		54.92000	109.98173
		54.96000	109.98159
		55.00000	109.98145
		55.04000	109.98131
		55.08000	109.98117
		55.12000	109.98102
		55.16000	109.98088
		55.20000	109.98074
		55.24000	109.98060
		55.28000	109.98046
		55.32000	109.98032
		55.36000	109.98018
		55.40000	109.98004
		55.44000	109.97990
		55.48000	109.97976
		55.52000	109.97962
		55.56000	109.97948
		55.60000	109.97934
		55.64000	109.97920
		55.68000	109.97906
		55.72000	109.97892
		55.76000	109.97878
		55.80000	109.97864
		55.84000	109.97850
		55.88000	109.97836
		55.92000	109.97822
		55.96000	109.97808
		56.00000	109.97794
		56.04000	109.97780
		56.08000	109.97766
		56.12000	109.97752
		56.16000	109.97739
		56.20000	109.97725
		56.24000	109.97711
		56.28000	109.97697
		56.32000	109.97683
		56.36000	109.97669
		56.40000	109.97656
		56.44000	109.97642
		56.48000	109.97628
		56.52000	109.97614
		56.56000	109.97600
		56.60000	109.97587
		56.64000	109.97573
		56.68000	109.97559
		56.72000	109.97545
		56.76000	109.97532
		56.80000	109.97518
		56.84000	109.97504
		56.88000	109.97491
		56.92000	109.97477
		56.96000	109.97463
		57.00000	109.97450
		57.04000	109.97436
		57.08000	109.97422
		57.12000	109.97409
		57.16000	109.97395
		57.20000	109.97381
		57.24000	109.97368
		57.28000	109.97354
		57.32000	109.97341
		57.36000	109.97327
		57.40000	109.97313
		57.44000	109.97300
		57.48000	109.97286
		57.52000	109.97273
		57.56000	109.97259
		57.60000	109.97246
		57.64000	109.97232
		57.68000	109.97219
		57.72000	109.97205
		57.76000	109.97192
		57.80000	109.97178
		57.84000	109.97165
		57.88000	109.97151
		57.92000	109.97138
		57.96000	109.97125
		58.00000	109.97111
		58.04000	109.97098
		58.08000	109.97084
		58.12000	109.97071
		58.16000	109.97057
		58.20000	109.97044
		58.24000	109.97031
		58.28000	109.97017
		58.32000	109.97004
		58.36000	109.96991
		58.40000	109.96977
		58.44000	109.96964
		58.48000	109.96951
		58.52000	109.96937
		58.56000	109.96924
		58.60000	109.96911
		58.64000	109.96897
		58.68000	109.96884
		58.72000	109.96871
		58.76000	109.96858
		58.80000	109.96844
		58.84000	109.96831
		58.88000	109.96818
		58.92000	109.96805
		58.96000	109.96792
		59.00000	109.96778
		59.04000	109.96765
		59.08000	109.96752
		59.12000	109.96739
		59.16000	109.96726
		59.20000	109.96712
		59.24000	109.96699
		59.28000	109.96686
		59.32000	109.96673
		59.36000	109.96660
		59.40000	109.96647
		59.44000	109.96634
		59.48000	109.96621
		59.52000	109.96608
		59.56000	109.96594
		59.60000	109.96581
		59.64000	109.96568
		59.68000	109.96555
		59.72000	109.96542
		59.76000	109.96529
		59.80000	109.96516
		59.84000	109.96503
		59.88000	109.96490
		59.92000	109.96477
		59.96000	109.96464
		60.00000	109.96451
75.000		60.12000	109.96244
		60.24000	109.96037
		60.36000	109.95830
		60.48000	109.95624
		60.60000	109.95418
		60.72000	109.95213
		60.84000	109.95008
		60.96000	109.94803
		61.08000	109.94599
		61.20000	109.94395
		61.32000	109.94192
		61.44000	109.93989
		61.56000	109.93787
		61.68000	109.93584
		61.80000	109.93383
		61.92000	109.93181
		62.04000	109.92980
		62.16000	109.92780
		62.28000	109.92580
		62.40000	109.92380
		62.52000	109.92180
		62.64000	109.91981
		62.76000	109.91783
		62.88000	109.91584
		63.00000	109.91386
		63.12000	109.91189
		63.24000	109.90992
		63.36000	109.90795
		63.48000	109.90598
		63.60000	109.90402
		63.72000	109.90207
		63.84000	109.90011
		63.96000	109.89816
		64.08000	109.89622
		64.20000	109.89428
		64.32000	109.89234
		64.44000	109.89040
		64.56000	109.88847
		64.68000	109.88654
		64.80000	109.88462
		64.92000	109.88270
		65.04000	109.88078
		65.16000	109.87887
		65.28000	109.87696
		65.40000	109.87505
		65.52000	109.87315
		65.64000	109.87125
		65.76000	109.86935
		65.88000	109.86746
		66.00000	109.86557
		66.12000	109.86368
		66.24000	109.86180
		66.36000	109.85992
		66.48000	109.85805
		66.60000	109.85618
		66.72000	109.85431
		66.84000	109.85244
		66.96000	109.85058
		67.08000	109.84872
		67.20000	109.84686
		67.32000	109.84501
		67.44000	109.84316
		67.56000	109.84132
		67.68000	109.83948
		67.80000	109.83764
		67.92000	109.83580
		68.04000	109.83397
		68.16000	109.83214
		68.28000	109.83031
		68.40000	109.82849
		68.52000	109.82667
		68.64000	109.82485
		68.76000	109.82304
		68.88000	109.82123
		69.00000	109.81942
		69.12000	109.81762
		69.24000	109.81582
		69.36000	109.81402
		69.48000	109.81223
		69.60000	109.81044
		69.72000	109.80865
		69.84000	109.80686
		69.96000	109.80508
		70.08000	109.80330
		70.20000	109.80153
		70.32000	109.79975
		70.44000	109.79798
		70.56000	109.79622
		70.68000	109.79445
		70.80000	109.79269
		70.92000	109.79093
		71.04000	109.78918
		71.16000	109.78743
		71.28000	109.78568
		71.40000	109.78393
		71.52000	109.78219
		71.64000	109.78045
		71.76000	109.77871
